name,old_region,new_region
udupi style ash gourd coconut curry,Global,South
udupi style red parboiled rice sevai  (red rice vermicelli),Global,South
himachal style khatta jimikand    spicy tangy yam,Global,North
padipe saasmi    udupi style amaranth leaves curry with coconut & tamarind,Global,South
khatti meethi tindora sabzi    gujarati tindora nu shaak,Mixed,West
udupi red parboiled rice shavige,Global,South
spicy haryana style egg curry ( in hindi),Global,North
andhra cheese & vegetables pesarattu,Mixed,South
punjabi lobia masala  (punjabi style black eyed beans curry),Mixed,North
kottambari tambuli    udupi style raw coriander kadhi,Global,South
spicy haryana style egg curry,Global,North
gujarati dhokla pizza,Mixed,West
himachal pahari style teliah mah  (brown horse gram curry),Global,North
udupi style sannappa  (brown rice and banana fritters ),Global,South
udupi style sambar    masala huli with mixed vegetables,Global,South
kerala style beetroot pachadi ( in hindi),Mixed,South
"mizoram inspired veg sawhchiar  rice pilaf with kashmiri red chillies, bay leaf and paneer",Global,North
udupi style pelakai teepe dose  (halasina hanina dose ),Global,South
udupi style huli podi  (sambar powder),Global,South
kerala style beetroot pachadi,Mixed,South
udupi style thondekayi and badnekayi sambar    ivy gourd & brinjal sambar,Global,South
how to make homemade kashmiri masala/ spice mix,Mixed,North
punjabi style black eyed beans curry ( in hindi),Mixed,North
himachal style panchkuti khichdi,Global,North
udupi tomato rasam,Global,South
batani gassi    udupi style potatoes and peas curry,Global,South
karnataka style mixed vegetable pulao,Mixed,South
chana dal and rice   bengal gram dal and rice ( in hindi),Mixed,East
udupi style alsande kayi saaru  (long beans gravy ),Global,South
udupi style bendekayi palya    ladies finger with coconut,Global,South
green chilli pickle  (gujarati raiwala marcha),Mixed,West
mohan bhog    bengali style sooji ka halwa,Mixed,East
